category,theme,signal_volume,avg_rating,pct_severe,pct_churn,evidence_strength,confidence,observed,inferred,unknown,next_step
delivery_problem,General order quality issues / no resolution offered,157,1.1464968152866242,0.9745222929936306,0.0445859872611464,74.8,Medium,"157 reviews describe negative order experiences with no consistent single root cause — spanning delayed orders, unfulfilled promises, and unresolved complaints, unified mainly by extremely low ratings (97% at 1-2★) and a shared sense that Swiggy did not resolve the issue.","This is likely several distinct, smaller problems that clustering couldn't separate cleanly — not one single root cause. The one common thread is a resolution gap: customers consistently report that nothing was done after the initial problem occurred.","What the actual root causes are within this cluster (needs finer-grained analysis), and whether 'no resolution' reflects a policy gap or an execution gap.","This cluster is too broad to act on directly. Before treating it as one opportunity, re-cluster just these 157 reviews at a higher cluster count, or manually sample 30-40 to identify the real sub-themes hiding inside it."
delivery_problem,Wrong or incomplete item delivered,58,1.1551724137931034,0.9655172413793104,0.0344827586206896,49.3,Medium-Low,"58 reviews specifically describe receiving the wrong item, a missing item, or an incomplete order — a distinct, specific failure mode separate from delivery timing.","This points to an order-fulfillment accuracy problem, likely on the restaurant/dark-store packing side rather than the delivery/logistics side, given the specificity of 'wrong item' vs. 'late item' language.","Whether this concentrates in specific restaurant partners, specific cities, or specific order types (Instamart vs. food delivery) — no restaurant- or city-level data is available to check this.","Cross-reference this signal against internal order-accuracy or restaurant-partner-quality data — 58 independent, specific complaints is strong enough evidence to justify checking against data Swiggy already has internally."
delivery_problem,Delivery delays attributed to slow/unavailable delivery partners,51,1.2156862745098038,0.9411764705882352,0.0588235294117647,47.6,Medium-Low,"51 reviews specifically attribute delays to a lack of available delivery partners, not to restaurant prep time or app issues.","May indicate a supply-side (delivery partner capacity) problem concentrated at certain times or locations, rather than a demand-forecasting or app-UX problem.",Whether this clusters by time of day (several quotes suggest late night) or by geography — no timestamp-pattern analysis or location data available to confirm.,"Cross-reference against internal delivery-partner-supply data by hour and region — if this is a real, time-concentrated supply gap, that's directly actionable operationally."
delivery_problem,Restaurant/delivery network unable to fulfill orders on time,23,1.1304347826086956,0.9565217391304348,0.3478260869565217,46.8,Medium-Low,"23 reviews describe orders that could not be fulfilled or delivered as promised by the restaurant/delivery network, distinct from generic lateness.",May reflect restaurant-side capacity or coordination issues rather than a Swiggy-app-side problem.,Whether specific restaurants or categories are overrepresented in this pattern.,Cross-reference against restaurant-level fulfillment-rate data if available internally.
pricing_complaint,Cancellation fee charged unfairly or disproportionately,23,1.0869565217391304,0.9565217391304348,0.217391304347826,44.6,Medium-Low,"23 reviews describe being charged a cancellation fee in situations they perceive as unfair — either Swiggy itself cancelled the order, or the customer cancelled within a very short window.","The cancellation fee policy, or its application, may not be clearly communicated or may not account for near-immediate cancellations and Swiggy-initiated cancellations.","What the actual policy is, whether these are policy violations or the policy working as designed but perceived as unfair, and whether this is a small vocal minority or a broader pattern.","This is a policy-clarity question, not a product-bug question — recommend a policy review informed by these specific complaint patterns."
support_experience,No response from chat support / follow-ups ignored,23,1.0434782608695652,1.0,0.1739130434782608,44.0,Medium-Low,"23 reviews specifically describe the support channel itself failing — bot-only responses, no path to a human agent, or messages going unanswered — as the central complaint.",The AI/bot-first support flow may lack an adequate escalation path to human agents for cases where the bot can't resolve the issue.,"What percentage of support interactions this affects, and whether an escalation path exists but isn't surfaced to users, vs. not existing at all.",Interview a small sample of affected users to understand exactly where they got stuck in the support flow.
delivery_partner_behavior,"Delivery partner unresponsive, rude, or fails to deliver as described",16,1.0625,1.0,0.1875,42.4,Medium-Low,"16 reviews describe specific behavioral complaints about individual delivery partners — refusing instructions, rudeness, or unresponsiveness — distinct from generic delay complaints.","May reflect a training or accountability gap for delivery partner conduct, though 16 signals is a small sample.",Whether these are isolated individual incidents or a systemic pattern.,"Given low volume but high severity (100% at ≤2★), interview 5-8 affected users directly before deciding this warrants operational action."
refund_payment_issue,Refund denied or money not returned for valid claims,28,1.1785714285714286,0.9642857142857144,0.0714285714285714,42.2,Medium-Low,"28 reviews describe a refund being explicitly requested and denied, as the central complaint.",There may be a gap between what customers consider a 'genuine' refund case and Swiggy's actual refund-eligibility criteria — or a gap in how that criteria is communicated.,"What Swiggy's actual refund policy says in these specific scenarios, and whether these are policy-consistent denials or genuine policy misapplications.","Cross-reference a sample against internal refund-decision logs, if available, to determine whether the fix is a policy change or a communication change."
support_experience,"Support agents unable to resolve issues, no escalation path",23,1.173913043478261,0.9565217391304348,0.0434782608695652,40.4,Medium-Low,,,,
delivery_problem,Late delivery — order arrives significantly past promised time,22,1.2272727272727273,0.9090909090909092,0.0454545454545454,39.8,Medium-Low,,,,
delivery_problem,"Order cancellation friction (no cancel option, payment method issues)",22,1.1363636363636365,1.0,0.0,39.6,Medium-Low,,,,
app_bug_technical,Inaccurate delivery time / tracking estimates shown in-app,7,1.0,1.0,0.1428571428571428,39.6,Medium-Low,,,,
pricing_complaint,Delivery fees perceived as too expensive relative to order value,32,1.84375,0.75,0.09375,38.7,Medium-Low,,,,
app_bug_technical,"App functionality bugs (filters, cancellation flow, account issues)",21,1.5238095238095235,0.8095238095238095,0.0476190476190476,37.4,Medium-Low,,,,
pricing_complaint,Extra/hidden charges and GST inflate final price,29,2.0,0.6896551724137931,0.0689655172413793,36.3,Medium-Low,,,,
